Track Name,Artist Name(s),Status,Instrumental
Every High Comes Down,The Astronomers,nao_encontrada,False
Face to Face,The Astronomers,erro_503,False
Primeiros Erros (Chove) - Ao Vivo,Capital Inicial,erro_503,False
Who Are You,Arnetta Johnson,erro_503,False
Blues in Velvet Room,アトラスサウンドチーム,encontrada,True
この不思議な感覚,アトラスサウンドチーム,erro_503,False
全ての人の魂の詩,小宮知子,encontrada,True
Location - Recorded at Spotify Studios NYC,AJR,erro_503,False
Netflix Trip,AJR,erro_503,False
Birthday Party,AJR,erro_503,False
Poison,Bell Biv DeVoe,erro_503,False
A World of Your Own,Timothée Chalamet;The Cast of Wonka,erro_503,False
Bad (feat. Vassy) - Radio Edit,David Guetta;Showtek;VASSY,erro_503,False
Barcelona,George Ezra,erro_503,False
Bad Dream,Stellar,erro_503,False
We Come Running,Youngblood Hawke,erro_503,False
Apologize,OneRepublic,erro_503,False
Broken By You (feat. Fresno),McFly;Fresno,nao_encontrada,False
Wish I Never Met You,The Wrecks,erro_503,False
Sexual Healing - Kygo Remix,Marvin Gaye;Kygo,erro_503,False
Beauty And A Beat,Justin Bieber;Nicki Minaj,erro_503,False
Santa's Radio,Heyson,nao_encontrada,False
Confisco,Charlie Brown Jr.,erro_503,False
She's So Lovely,Scouting For Girls,erro_503,False
The Me I Know,noyou,nao_encontrada,False
Leafy Greens,"Beats Me, Innit?",nao_encontrada,False
777,Bruno Mars;Anderson .Paak;Silk Sonic,erro_503,False
Pixel Pig,Di Young,encontrada,True
T.R.I.B.E.,LG (TEAM GENIUS);Black Prez,nao_encontrada,False
Sonic Heroes: Main Theme of Sonic Heroes,Crush 40,erro_503,False
Just Want It,XHz Official;Metablue賽博藍;Nikki Simmons;Cleva Thoughts,nao_encontrada,False
"At Least It Was Here (""Community"" Main Title Version)",The 88,erro_503,False
Werewolf (feat. Yoshi Flower),Quinn XCII;Yoshi Flower,erro_503,False
Red Lips (feat. Sam Bruno),Good Times Ahead;Sam Bruno,nao_encontrada,False
Astronauta,Suricato;Melim,nao_encontrada,False
Flying Car,The Astronomers;JENSYN,erro_503,False
Like the Holidays,The Astronomers,erro_503,False
Someone To You,BANNERS,erro_503,False
Brincar com Amor,Nauta,nao_encontrada,False
Five Nights at Freddy's,The Newton Brothers,encontrada,True
I Saw You Saying - That You Say That You Saw,Raimundos,erro_503,False
Lugar Ao Sol - Ao Vivo | Acústico,Raimundos,erro_503,False
Resposta,Terno Rei;Samuel Rosa,nao_encontrada,False
Sweden - Piano Version,Marco Velocci,nao_encontrada,False
Moonlight Sonata - 3rd Movement (Sonata No. 14 C# Minor),Monsalve,encontrada,True
Victoria's Secret,Jax,erro_503,False
Never Let Me Go,Alok;Bruno Martini;Zeeba,erro_503,False
Deep Down (feat. Never Dull),Alok;Ella Eyre;Kenny Dope;Never Dull,erro_503,False
Angel in Blue Jeans,Train,erro_503,False
Dilemma,Nelly;Kelly Rowland,erro_503,False
Superman,Eminem;Dina Rae,nao_encontrada,False
long story short,Taylor Swift,erro_503,False
Gimme Love,Sia,erro_503,False
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Taylor Swift;Gary Lightbody,erro_503,False
It's Raining Men - Single Version,The Weather Girls,erro_503,False
Yes I'm A Mess,AJR,erro_503,False
Bridge Over Troubled Water,Elvis Presley,erro_503,False
Seja Como For,Banda do Mar,erro_503,False
Sol da Manhã,Supercombo,erro_503,False
The Climb,Miley Cyrus,erro_503,False
Pupila,ANAVITÓRIA;Vitor Kley,erro_503,False
Mama Said,Lukas Graham,erro_503,False
Rude e a Lambreta,Skamaradas Trio,nao_encontrada,False
Acenda o farol,Tim Maia,erro_503,False
Superman,Goldfinger,erro_503,False
Bang! - Nathan Dawe Remix,AJR;Nathan Dawe,erro_503,False
Devil Trigger,Casey Edwards;Ali Edwards,erro_503,False
Minha alma (A paz que eu não quero),O Rappa,erro_503,False
What A Time (feat. Niall Horan),Julia Michaels;Niall Horan,erro_503,False
If the World Was Ending (feat. Julia Michaels),JP Saxe;Julia Michaels,erro_503,False
Fico Assim Sem Você,Adriana Partimpim,erro_503,False
Eduardo E Mônica,Legião Urbana,erro_503,False
Dress Like A Pirate,Elio Mei,nao_encontrada,False
Mais Uma Vez,Renato Russo,erro_503,False
Sloop John B,The Beach Boys,erro_503,False
Hotel,Claire Rosinkranz,erro_503,False
Love's Train,Bruno Mars;Anderson .Paak;Silk Sonic,erro_503,False
Formula 1 Theme,Brian Tyler,encontrada,True
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift;Hayley Williams,erro_503,False
Under Pressure,Queen;David Bowie,erro_503,False
Bring Me To Life,Evanescence,erro_503,False
Air On A G String,Johann Sebastian Bach;Royal Philharmonic Orchestra;Frank Shipway,encontrada,True
Lugar Ao Sol,Charlie Brown Jr.,erro_503,False
"Dias De Luta, Dias De Gloria",Charlie Brown Jr.,erro_503,False
Um Minuto Para O Fim Do Mundo,CPM 22,erro_503,False
Roda,Pitty;BaianaSystem,erro_503,False
Memórias,Pitty,erro_503,False
Eu Quero Sempre Mais (feat. Pitty) - Versão Acústica,Ira!;Pitty,erro_503,False
Umbrella,Rihanna;JAŸ-Z,erro_503,False
Out Of The Woods,Taylor Swift,erro_503,False
"no body, no crime (feat. HAIM)",Taylor Swift;HAIM,erro_503,False
17,Julia Michaels,erro_503,False
Fool's Gold,Lucas Jack,erro_503,False
Somewhere in New York,John Splithoff,erro_503,False
Private Eyes,Daryl Hall & John Oates,erro_503,False
You Can Call Me Al,Paul Simon,erro_503,False
Only the Good Die Young,Billy Joel,erro_503,False
Comeback Kid (That's My Dog),Brett Dennen,erro_503,False
Imma Be,Black Eyed Peas,erro_503,False
Bastidores,Nauta,nao_encontrada,False
Você Vai Lembrar de Mim,NX Zero,erro_503,False
Too Little Too Late,JoJo,erro_503,False
It's Pizza Time!,Mr. Sauceman,erro_503,False
Nancy Mulligan,Ed Sheeran,erro_503,False
Learning To Fly,Sheppard,erro_503,False
Don't Say,The Chainsmokers;Emily Warren,erro_503,False
100 Bad Days,AJR,erro_503,False
Hidden In the Sand,Tally Hall,erro_503,False
do u think about me?,Lahar,erro_503,False
Beautiful Life,Nick Fradiani,erro_503,False
Beats,AJR,erro_503,False
Celebrate,Ingrid Michaelson;AJR,erro_503,False
The Good Life,The Collective,nao_encontrada,False
Tell The World,Eric Hutchinson,erro_503,False
Our Moment,川村ゆみ;Lotus Juice;アトラスサウンドチーム;ATLUS GAME MUSIC,erro_503,False
Christmas Party,Meghan Trainor,erro_503,False
Bad Things (with Camila Cabello),mgk;Camila Cabello,erro_503,False
te vi dançando,Braga,erro_503,False
That's All - 2007 Remaster,Genesis,erro_503,False
Catch & Release - Deepend Remix,Matt Simons;Deepend,erro_503,False
Keep Your Head Up,Andy Grammer,nao_encontrada,False
Troublemaker (feat. Flo Rida),Olly Murs;Flo Rida,erro_503,False
Ela Só Quer Paz,Projota,erro_503,False
With Or Without You,U2,erro_503,False
Welcome To New York,Taylor Swift,erro_503,False
Waves - Robin Schulz Radio Edit,Mr. Probz;Robin Schulz,erro_503,False
A Man Without Love,Engelbert Humperdinck,nao_encontrada,False
Sugar (feat. Francesco Yates),Robin Schulz;Francesco Yates,nao_encontrada,False
Choker,Twenty One Pilots,erro_503,False
Amnesia,5 Seconds of Summer,erro_503,False
O Que Que Eu Faço Pra Tirar Você Da Minha Cabeça,Ivo Mozart,erro_503,False
Cate’s Brother,Maisie Peters,erro_503,False
Rebeldia,Projota,erro_503,False
Love Like You (End Credits),Steven Universe;Rebecca Sugar,erro_503,False
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach;Yo-Yo Ma,encontrada,True
Dancing With A Stranger (with Normani),Sam Smith;Normani,erro_503,False
Blame It on Me,George Ezra,erro_503,False
I Will Wait,Mumford & Sons,erro_503,False
Life is a Highway,Rascal Flatts,erro_503,False
Walk Of Life - Remastered 1996,Dire Straits,erro_503,False
Don't You (Forget About Me) - Remastered 2001,Simple Minds,erro_503,False
O Tiro,Scatolove;Isa Salles;Leo Ramos,nao_encontrada,False
Pursuing My True Self,平田志穂子,erro_503,False
Sun,アトラスサウンドチーム;ATLUS GAME MUSIC,erro_503,False
Wiping All Out,藤田真由美;Lotus Juice;アトラスサウンドチーム;ATLUS GAME MUSIC,nao_encontrada,False
Time,藤田真由美;アトラスサウンドチーム;ATLUS GAME MUSIC,erro_503,False
A Way of Life,藤田真由美;アトラスサウンドチーム;ATLUS GAME MUSIC,nao_encontrada,False
Symphony (feat. Zara Larsson),Clean Bandit;Zara Larsson,erro_503,False
We Own The Night,The Wanted,erro_503,False
Chasing The Sun,The Wanted,erro_503,False
This Is What You Came For,Calvin Harris;Rihanna,erro_503,False
Infinity,AJR,erro_503,False
Habit,Leah Mason,erro_503,False
Fortunate Son,Creedence Clearwater Revival,erro_503,False
I'm Yours,Jason Mraz,erro_503,False
Last Kiss,Taylor Swift,erro_503,False
Hall of Fame (feat. will.i.am),The Script;will.i.am,erro_503,False
Stan - Live At 43rd Grammy Awards,Eminem;Elton John,nao_encontrada,False
Get To Know You,Samantha Harvey,erro_503,False
Up and Away (feat. Jeremy William),Luke Shay;Jeremy William,nao_encontrada,False
Stay the Night (Doesn't Mean We're Bound for Life),Bella Huxley,nao_encontrada,False
I Really Like You,Kurt Hugo Schneider;ATC,nao_encontrada,False
"Mine (feat. Dawty Music, Preston Harris & Sophia Sugarman)",HUGEL;Dawty;Sophia Sugarman;Preston Harris,erro_503,False
1mmortal,Cash!*,encontrada,True
Beachside,Bazanji;Jackson Breit,nao_encontrada,False
Safe And Sound,Capital Cities,erro_503,False
Cake By The Ocean,DNCE,"erro_requisicao: HTTPSConnectionPool(host='lrclib.net', port=443): Read timed out. (read timeout=15)",False
"Ganondorf Battle - From ""The Legend of Zelda: The Wind Waker""",The Marcus Hedges Trend Orchestra,encontrada,True
50//50,Vantage,encontrada,True
"The Great Sea - From ""The Legend of Zelda: The Wind Waker""",The Marcus Hedges Trend Orchestra,encontrada,True
"Outset Island - From ""The Legend of Zelda: The Wind Waker""",The Marcus Hedges Trend Orchestra,encontrada,True
Let's Not Be Alone Tonight,R5,erro_503,False
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit;Anne-Marie;Sean Paul,erro_503,False
Music Feels Better - Bonus Track,Selena Gomez,erro_503,False
It's Easy To Remember,John Coltrane Quartet,erro_503,False
Evening In Paris,Zoot Sims,nao_encontrada,False
Sakura,YUNG LIXO,erro_503,False
the cat from ipanema,j1gggs,encontrada,True
in my miNd,Maty Noyes,erro_503,False
March Winds & April Showers,Dalterino,erro_503,False
Way Less Sad,AJR,erro_503,False
Dark Horse,Katy Perry;Juicy J,erro_503,False
Blame (feat. John Newman),Calvin Harris;John Newman,erro_503,False
Falling,Harry Styles,erro_503,False
Airplanes (feat. Hayley Williams of Paramore),B.o.B;Hayley Williams,encontrada,True
Undefeatable,SEGA SOUND TEAM;大谷智哉;Kellin Quinn,nao_encontrada,False
Love Me Like You Do,Ellie Goulding,nao_encontrada,False
Stronger,Kanye West,erro_503,False
Beneath the Mask,Lyn;アトラスサウンドチーム;ATLUS GAME MUSIC,nao_encontrada,False
Invitation to Freedom,Lyn,erro_503,False
Die For You - Remix,The Weeknd;Ariana Grande,erro_503,False
Everybody Wants To Run The World,Tears For Fears,erro_503,False
Whisky a Go-Go,Roupa Nova,erro_503,False
Imma Be,Black Eyed Peas,erro_503,False
Area - Planet Wisp,SEGA SOUND TEAM;Mariko Nanba,encontrada,True
PLANET WISP : ACT2,SEGA SOUND TEAM;Kenichi Tokoi,encontrada,True
Quest: SOS Backup,SEGA SOUND TEAM;Kenichi Tokoi,erro_503,False
American Venom,Woody Jackson,encontrada,True
Killer Queen - Remastered 2011,Queen,erro_503,False
Blizzard - Movie Edit - English Ver.,Daichi Miura,erro_503,False
Ezio's Family,Jesper Kyd;Assassin's Creed,encontrada,True
GIRL LIKE ME,Black Eyed Peas;Shakira,erro_503,False
Anti-Hero (feat. Bleachers),Taylor Swift;Bleachers,erro_503,False
"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",Ludwig van Beethoven;Igor Levit,erro_503,False
Put On A Smile,Bruno Mars;Anderson .Paak;Silk Sonic,erro_503,False
Duel of the Fates,John Williams;London Symphony Orchestra,encontrada,True
Rejuvenescência,Derek Duke,encontrada,True
We Move Together As One,Derek Duke,nao_encontrada,False
Nepal,Derek Duke,encontrada,True
Hanamura,Derek Duke,encontrada,True
The Whims of Fate,Lyn;アトラスサウンドチーム;ATLUS GAME MUSIC,erro_503,False
Necessary Discrepancy,AISHA;NAOKI;Arc System Works,erro_503,False
Star Guardian 2022 - Official Orchestral Theme,League of Legends,encontrada,True
Pursuing My True Self,平田志穂子,erro_503,False
Rivers In the Desert,Lyn;アトラスサウンドチーム;ATLUS GAME MUSIC,nao_encontrada,False
Dance!,平田志穂子;Lotus Juice,erro_503,False
Triunfo (A Rua É Nóiz),Emicida,erro_503,False
Stars In The Sky - From Sonic The Hedgehog 2,Kid Cudi,erro_503,False
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix;Macklemore;Fall Out Boy,erro_503,False
"I'm Your GPU (From ""Astro's Playroom"" Soundtrack)",Kenneth C M Young,erro_503,False
"CPU Plaza (From ""Astro's Playroom"" Soundtrack)",Kenneth C M Young,nao_encontrada,False
Hoshi To Bokura To,Lyn;アトラスサウンドチーム;ATLUS GAME MUSIC,nao_encontrada,False
Last Surprise,Lyn;アトラスサウンドチーム;ATLUS GAME MUSIC,nao_encontrada,False
Life Will Change,Lyn;アトラスサウンドチーム;ATLUS GAME MUSIC,nao_encontrada,False
"Wake Up, Get Up, Get Out There",Lyn;アトラスサウンドチーム;ATLUS GAME MUSIC,nao_encontrada,False
Axe to Grind,Lyn,erro_503,False
"The Book of Boba Fett - From ""The Book of Boba Fett""",Ludwig Göransson,encontrada,True
We Don't Talk About Bruno,Carolina Gaitán - La Gaita;Mauro Castillo;Adassa;Rhenzy Feliz;Diane Guerrero;Stephanie Beatriz;Encanto - Cast,erro_503,False
Fortnite In Btwn Lobby Music,Specter FXX-K,nao_encontrada,False
Beethoven Virus,Diana,erro_503,False
Is It Right,Elaiza,erro_503,False
Distant Dreamer,Duffy,erro_503,False
Sunny's Song,Nite Gamic,nao_encontrada,False
Calling To The Night,Natasha Farrow,erro_503,False
Reach For The Stars - Opening Theme - Vocals by Jean Paul Makhlouf of Cash Cash,SEGA SOUND TEAM;大谷智哉,nao_encontrada,False
A Woman,アトラスサウンドチーム;ATLUS GAME MUSIC,encontrada,True
Metal Gear Solid Main Theme〜The World Needs Only One Big Boss!,Harry Gregson-Williams;日比野則彦,nao_encontrada,False
"Audio (feat. Sia, Diplo, and Labrinth)",Sia;Diplo;Labrinth;LSD,erro_503,False
Glad You Came,Sun Goes Down,erro_503,False
Let's Love,David Guetta;Sia,erro_503,False
"Yone, the Unforgotten",League of Legends,erro_503,False
Space Groove - 2021,League of Legends,encontrada,True
Quiet's Theme,Stefanie Joosten,erro_503,False
Snake Eater,Cynthia Harrell,erro_503,False
Pigstep - Stereo Mix,Lena Raine;Minecraft,encontrada,True
Summer Nights,SIAMES;Barbie Williams,erro_503,False
Symphony (feat. Zara Larsson),Clean Bandit;Zara Larsson,erro_503,False
Carmen Suite No. 1: 5. Les toréadors,Georges Bizet;Orchestre de Paris;Semyon Bychkov,encontrada,True
Phonesex,YUNG LIXO;yumaru,nao_encontrada,False
End of Time,K-391;Alan Walker;Ahrix,erro_503,False
Planet Wisp - Act 1,SEGA SOUND TEAM;Kenichi Tokoi,encontrada,True
SEASIDE HILL : ACT1,SEGA SOUND TEAM;Richard Jacques;Jun Senoue,encontrada,True
ROOFTOP RUN : ACT2,SEGA SOUND TEAM;大谷智哉,erro_503,False
ROOFTOP RUN : ACT1,SEGA SOUND TEAM;大谷智哉,nao_encontrada,False
SKY SANCTUARY : ACT2 - Normal,SEGA SOUND TEAM;Jun Senoue,erro_503,False
PLANET WISP : ACT2,SEGA SOUND TEAM;Kenichi Tokoi,encontrada,True
Get It Together,The Go! Team,encontrada,True
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN;Sia,erro_503,False
Chirp,C418,encontrada,True
Ocean Man,Ween,erro_503,False
Dissolve,Absofacto;NITESHIFT,erro_503,False
"Le Festin - From ""Ratatouille""",Camille;Michael Giacchino,nao_encontrada,False
Metal Gear Solid: Sons of Liberty Theme,Harry Gregson-Williams;Andrew Skeet;London Philharmonic Orchestra,erro_503,False
Denza: Funiculì-Funiculà (Orch. Chiaramello),Luigi Denza;Luciano Pavarotti;Orchestra del Teatro Comunale di Bologna;Anton Guadagno,nao_encontrada,False
Asylums for the feeling feat. Leila Adu,Silent Poets;Leila Adu,erro_503,False
"BB's Theme (From ""Death Stranding"" Score)",Ludvig Forssell;Jenny Plant,erro_503,False
Radio Ga Ga - Remastered 2011,Queen,erro_503,False
King & Ashley,MY FIRST STORY,erro_503,False
Rhapsody of Blue Sky,fhána,erro_503,False
